0.2011 -0.0562 -0.3839
0.2011 -0.0535 -0.3847
0.1908 -0.0844 -0.3841
0.1728 -0.1119 -0.3883
0.1849 -0.0989 -0.3929
0.2206 -0.0612 -0.3918
0.2082 -0.0380 -0.4059
0.1624 -0.0654 -0.4198
0.1557 -0.1031 -0.4181
0.1634 -0.1340 -0.3980
0.1652 -0.1719 -0.3811
0.1908 -0.2027 -0.3556
0.0791 -0.1877 -0.3853
0.0101 -0.1578 -0.3975
-0.0054 -0.1423 -0.4013
-0.0278 -0.1378 -0.3965
-0.0577 -0.1194 -0.3912
-0.1003 -0.1096 -0.3838
-0.0680 -0.0884 -0.3996
-0.1186 -0.0028 -0.4033
-0.1260 0.0619 -0.4049
-0.1081 0.0615 -0.4073
-0.1254 0.0870 -0.3991
-0.1155 0.1176 -0.4008
-0.1263 0.1406 -0.3911
-0.0637 0.1686 -0.3969
0.0087 0.1823 -0.3972
0.0436 0.1799 -0.3966
0.0518 0.1805 -0.3981
0.0936 0.1871 -0.3937
0.1130 0.1868 -0.3905
0.1348 0.1326 -0.4016
0.1619 0.0627 -0.4082
0.1668 0.0116 -0.4123
0.1924 -0.0063 -0.4024
0.2083 -0.0319 -0.3979
0.2201 -0.0738 -0.3856
0.2149 -0.1167 -0.3770
0.1514 -0.0813 -0.4068
0.1401 -0.0554 -0.4123
0.0854 -0.0461 -0.4243
0.1099 -0.0989 -0.4209
0.1066 -0.1329 -0.4055
0.0920 -0.1487 -0.3991
0.0780 -0.1600 -0.3965
0.0514 -0.1522 -0.3975
0.0170 -0.1119 -0.4044
-0.0391 -0.1509 -0.3831
0.0365 -0.0942 -0.4085
0.0092 -0.0968 -0.3997
-0.0279 -0.0964 -0.4012
-0.0324 -0.0809 -0.4051
-0.1099 -0.0079 -0.4009
-0.0973 0.0076 -0.4033
-0.1379 0.0159 -0.3871
-0.1416 0.0298 -0.3881
-0.1353 0.0429 -0.3926
-0.1435 0.0611 -0.3891
-0.1042 0.0953 -0.3980
-0.0870 0.1256 -0.3965
