-0.3384 -0.0215 -0.2060
-0.3356 -0.0214 -0.2153
-0.3209 -0.0301 -0.2221
-0.3190 -0.0457 -0.2175
-0.3744 -0.0724 -0.1997
-0.4315 -0.0040 -0.2232
-0.4681 0.0370 -0.2350
-0.4804 0.0632 -0.2414
-0.4854 0.0677 -0.2412
-0.5767 0.1026 -0.1931
-0.5501 0.1530 -0.2202
-0.5579 0.1788 -0.2230
-0.5482 0.1606 -0.2294
-0.5073 0.2406 -0.2510
-0.4732 0.2756 -0.2535
-0.4561 0.3065 -0.2508
-0.4314 0.3327 -0.2512
-0.4291 0.3523 -0.2439
-0.4015 0.3779 -0.2423
-0.3889 0.3885 -0.2355
-0.2947 0.3577 -0.2416
-0.2385 0.3287 -0.2381
-0.2349 0.2958 -0.2499
-0.2010 0.2896 -0.2422
-0.1547 0.3065 -0.2244
-0.1393 0.2716 -0.2246
-0.1467 0.2518 -0.2343
-0.1608 0.1520 -0.2465
-0.1800 0.0774 -0.2486
-0.1846 0.0611 -0.2472
-0.1611 0.0533 -0.2498
-0.1705 0.0406 -0.2575
-0.1666 -0.0155 -0.2338
-0.2504 0.0040 -0.2578
-0.3163 -0.0125 -0.2541
-0.3635 0.0083 -0.2567
-0.3416 0.0036 -0.2609
-0.3879 0.0178 -0.2589
-0.4153 0.0148 -0.2508
-0.4586 0.0041 -0.2219
-0.4431 0.0491 -0.2417
-0.4683 0.1390 -0.2563
-0.4996 0.2079 -0.2592
-0.4891 0.2256 -0.2619
-0.5341 0.2036 -0.2457
-0.5198 0.1932 -0.2510
-0.5303 0.2177 -0.2459
-0.4740 0.2162 -0.2660
-0.4645 0.2507 -0.2692
-0.4518 0.2911 -0.2642
-0.4022 0.3011 -0.2667
-0.3888 0.3017 -0.2651
-0.3898 0.3907 -0.2418
-0.3738 0.3872 -0.2426
-0.3763 0.3790 -0.2440
-0.3923 0.3737 -0.2410
-0.3934 0.3788 -0.2411
-0.4039 0.3715 -0.2388
-0.3475 0.3420 -0.2482
-0.2209 0.3104 -0.2369
